SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
25	2109	1376676	1219418
26	2109	1089492	973993
27	2109	1274514	1134989
0	2110	86798	37591
25	2110	1384962	1217711
26	2110	1093064	970044
27	2110	1282829	1134513
0	2111	91953	37899
25	2111	1394725	1215901
26	2111	1094058	962987
27	2111	1287916	1130753
0	2112	94955	36897
25	2112	1398473	1209345
26	2112	1096324	956929
27	2112	1291546	1125181
0	2113	92027	34556
25	2113	1401890	1209503
26	2113	1098769	957014
27	2113	1297298	1128830
0	2114	98553	34131
25	2114	1403342	1198783
26	2114	1098852	946881
27	2114	1296982	1116915
0	2115	98826	32678
25	2115	1399302	1186644
26	2115	1091098	932135
27	2115	1290394	1103098
0	2116	98542	30058
25	2116	1402154	1185099
26	2116	1088009	925142
27	2116	1288909	1099912
0	2201	82599	47127
25	2201	1360315	1237599
26	2201	1034360	944403
27	2201	1244703	1130984
0	2202	81041	46227
25	2202	1366201	1242807
26	2202	1047827	956832
27	2202	1254521	1140503
0	2203	80339	45478
25	2203	1373384	1248114
26	2203	1053553	962011
27	2203	1259474	1145780
0	2204	79720	44367
25	2204	1379566	1253254
26	2204	1058707	965264
27	2204	1263455	1147887
0	2205	80977	44017
25	2205	1387892	1254926
26	2205	1066158	967340
27	2205	1274419	1153028
0	2206	80382	42812
25	2206	1392755	1255616
26	2206	1069893	968701
27	2206	1277003	1152694
0	2207	79549	41282
25	2207	1391830	1253564
26	2207	1076070	973738
27	2207	1280419	1155394
0	2208	82225	40805
25	2208	1391946	1248847
26	2208	1079775	973552
27	2208	1278629	1149791
0	2209	82552	40686
25	2209	1400661	1251877
26	2209	1085561	974771
27	2209	1288255	1154957
0	2210	84808	39748
25	2210	1402960	1243140
26	2210	1085725	968216
27	2210	1291997	1149042
0	2211	87421	39505
25	2211	1406633	1242478
26	2211	1088354	966502
27	2211	1295419	1148715
0	2212	89145	39398
25	2212	1421939	1250802
26	2212	1100036	974227
27	2212	1307546	1155068
0	2213	88712	37513
25	2213	1412092	1233902
26	2213	1103091	971885
27	2213	1303561	1146532
0	2214	91036	36226
25	2214	1417103	1230788
26	2214	1107517	972303
27	2214	1305742	1142823
0	2215	92674	35100
25	2215	1415752	1218146
26	2215	1107021	961518
27	2215	1307131	1133851
0	2216	92831	32169
25	2216	1409296	1206621
26	2216	1104230	952574
27	2216	1300695	1123426
0	2301	82628	45508
25	2301	1359816	1230832
26	2301	1039894	944962
27	2301	1246342	1127695
0	2302	81508	44192
25	2302	1367151	1235678
26	2302	1055736	959062
27	2302	1259162	1138517
0	2303	79859	43718
25	2303	1372146	1243055
26	2303	1063579	968162
27	2303	1261447	1143544
0	2304	80980	43220
25	2304	1381195	1247063
26	2304	1071760	972407
27	2304	1271439	1149383
