SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
28	1214	896602	775817
29	1214	2057092	1795958
30	1214	902764	768034
0	1215	89940	41584
28	1215	895952	771511
29	1215	2054716	1782973
30	1215	900668	763236
0	1216	91671	39747
28	1216	890538	761930
29	1216	2057345	1770899
30	1216	898509	753810
0	1301	72105	38921
28	1301	843324	760693
29	1301	1950510	1769307
30	1301	877262	785301
0	1302	71176	38728
28	1302	851278	768673
29	1302	1965467	1788045
30	1302	878498	787392
0	1303	70847	38002
28	1303	854835	768912
29	1303	1974720	1791904
30	1303	875153	780954
0	1304	71101	37958
28	1304	859276	774308
29	1304	1978687	1796214
30	1304	880451	785713
0	1305	70814	37046
28	1305	865694	778535
29	1305	1992833	1807499
30	1305	883603	786986
0	1306	72038	36780
28	1306	868024	775763
29	1306	1999989	1806340
30	1306	884963	783172
0	1307	72628	36274
28	1307	865725	771020
29	1307	2002092	1802119
30	1307	876369	771604
0	1308	75573	38440
28	1308	868071	771726
29	1308	2019945	1817104
30	1308	872886	766361
0	1309	77108	38337
28	1309	869621	768408
29	1309	2042847	1827052
30	1309	872789	761042
0	1310	80645	38282
28	1310	870785	759468
29	1310	2044808	1807043
30	1310	870869	748904
0	1311	83402	40063
28	1311	873814	760405
29	1311	2045679	1806183
30	1311	868384	743673
0	1312	87212	41066
28	1312	879645	758590
29	1312	2056987	1803076
30	1312	869367	736708
0	1313	84303	39925
28	1313	877978	759793
29	1313	2056789	1803702
30	1313	857615	726890
0	1314	89823	41526
28	1314	889928	763415
29	1314	2077387	1806965
30	1314	869120	730622
0	1315	91921	42295
28	1315	886176	756502
29	1315	2066630	1784890
30	1315	870847	728544
0	1316	91338	40207
28	1316	885764	756747
29	1316	2068920	1781651
30	1316	880009	735394
0	2101	70368	37256
28	2101	829668	731209
29	2101	1942010	1725652
30	2101	863526	754976
0	2102	71043	39199
28	2102	841406	749093
29	2102	1966935	1767591
30	2102	866161	764532
0	2103	68409	37771
28	2103	840726	758514
29	2103	1967431	1789509
30	2103	863458	771243
0	2104	67576	36726
28	2104	848022	764133
29	2104	1977790	1798251
30	2104	872704	779805
0	2105	69452	36927
28	2105	855553	769042
29	2105	1985826	1800834
30	2105	874205	778454
0	2106	70780	36271
28	2106	858699	768030
29	2106	1997202	1804190
30	2106	876665	776868
0	2107	70857	36358
28	2107	861818	771985
29	2107	2005331	1813765
30	2107	875570	776231
0	2108	74473	36679
28	2108	856836	761151
29	2108	2008605	1802760
30	2108	867174	762127
0	2109	76170	37358
28	2109	859715	761388
29	2109	2025014	1810489
30	2109	870361	763089
0	2110	78240	36675
28	2110	858205	752305
29	2110	2010769	1780155
30	2110	867458	752384
0	2111	81532	37118
28	2111	869302	759014
29	2111	2025584	1786044
30	2111	878145	756896
0	2112	87700	39788
28	2112	871165	756114
29	2112	2018001	1768803
30	2112	878209	751269
0	2113	84038	36938
28	2113	873720	757015
29	2113	2017780	1761325
30	2113	877881	750421
0	2114	89512	37521
28	2114	881635	756930
29	2114	2022815	1747943
30	2114	891585	754247
0	2115	93429	39517
28	2115	883419	753750
29	2115	2008061	1721037
30	2115	900521	757932
0	2116	93562	37584
28	2116	873925	745309
29	2116	1992793	1700767
30	2116	896876	754373
0	2201	69795	39397
28	2201	850351	769286
29	2201	1932365	1751043
30	2201	895572	806650
0	2202	69930	39359
28	2202	856789	777311
29	2202	1940798	1764053
30	2202	898680	810292
0	2203	68080	37850
28	2203	860986	782402
29	2203	1946169	1772072
30	2203	899703	812030
0	2204	68336	38205
28	2204	866550	786463
29	2204	1954766	1779514
30	2204	905356	817138
0	2205	69641	38065
28	2205	871673	789182
29	2205	1963289	1782011
30	2205	906917	815705
0	2206	68933	36976
28	2206	872476	786616
29	2206	1970210	1782750
30	2206	907602	812416
0	2207	68181	36078
28	2207	872900	785283
29	2207	1968077	1778763
30	2207	904885	808525
0	2208	69302	36173
28	2208	868933	778746
29	2208	1980028	1783739
30	2208	896287	796477
0	2209	70926	36181
28	2209	870736	776774
29	2209	2001054	1794827
30	2209	896033	792263
0	2210	73320	36151
28	2210	871332	772955
29	2210	2001495	1785395
30	2210	898585	788873
0	2211	77425	37682
28	2211	872876	771758
29	2211	2004566	1782764
30	2211	895403	783380
0	2212	79221	38054
28	2212	881889	774458
29	2212	2022447	1788332
30	2212	899635	780727
0	2213	79048	36788
28	2213	881909	771379
29	2213	2024701	1782038
30	2213	892932	770394
0	2214	85340	38443
28	2214	885229	768613
29	2214	2032740	1775492
30	2214	897125	767380
0	2215	87961	39503
28	2215	885562	763058
29	2215	2032685	1758392
30	2215	899737	763378
0	2216	90453	38635
28	2216	883742	758328
29	2216	2043169	1756155
30	2216	900655	760331
0	2301	70773	38336
28	2301	840029	760293
29	2301	1944023	1767292
30	2301	877796	790652
0	2302	68982	37755
28	2302	850633	770062
29	2302	1953913	1779870
30	2302	881826	793021
0	2303	68280	37111
28	2303	853032	772135
29	2303	1961844	1786469
30	2303	880699	790705
0	2304	70531	37935
28	2304	858069	774967
29	2304	1975123	1794591
30	2304	886689	794543
0	2305	69285	36712
28	2305	865181	780468
29	2305	1985465	1803600
30	2305	890763	796746
0	2306	69021	35424
28	2306	869627	780556
29	2306	1997885	1806572
30	2306	891585	793376
0	2307	68908	35380
28	2307	870658	780400
29	2307	2003334	1811153
30	2307	886512	788293
0	2308	71274	35914
28	2308	867629	774475
29	2308	2006242	1807482
30	2308	879999	777951
0	2309	72745	36293
28	2309	867151	770161
29	2309	2025685	1816097
30	2309	877412	770603
0	2310	75829	36613
28	2310	870121	766649
29	2310	2031846	1808006
30	2310	878074	764647
0	2311	78347	37203
28	2311	874862	765805
29	2311	2033963	1799808
30	2311	878559	759669
0	2312	83739	39435
28	2312	874969	761929
29	2312	2031554	1789221
30	2312	877023	752568
0	2313	82050	37865
28	2313	879468	767085
29	2313	2047049	1802685
30	2313	871412	747724
0	2314	88143	39547
28	2314	886423	764743
29	2314	2045264	1782326
30	2314	880121	746209
0	2315	90420	41481
28	2315	890017	766326
29	2315	2052354	1780997
30	2315	888516	752333
0	2316	88363	38136
28	2316	879203	756933
29	2316	2034367	1757736
30	2316	886661	750708
