SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	71209	40665
28	1101	839119	757052
29	1101	1969387	1793830
30	1101	869355	778907
0	1102	70810	40880
28	1102	845129	763239
29	1102	1985561	1812729
30	1102	865301	774862
0	1103	67512	38126
28	1103	845961	763771
29	1103	1993571	1820749
30	1103	859380	768029
0	1104	68710	38086
28	1104	855276	769537
29	1104	2006847	1826871
30	1104	869065	774284
0	1105	69420	38105
28	1105	861059	774887
29	1105	2020252	1838752
30	1105	874286	778251
0	1106	70262	37663
28	1106	864581	775493
29	1106	2021965	1836115
30	1106	873357	774924
0	1107	71432	37224
28	1107	864251	772239
29	1107	2029986	1838011
30	1107	869177	766915
0	1108	75468	39143
28	1108	864726	768300
29	1108	2045457	1845393
30	1108	866329	760153
0	1109	77814	38767
28	1109	862312	761637
29	1109	2052107	1839088
30	1109	861614	750797
0	1110	80672	39392
28	1110	870558	764569
29	1110	2063750	1840045
30	1110	867972	750542
0	1111	83911	40658
28	1111	873048	763520
29	1111	2064868	1834729
30	1111	866375	746034
0	1112	87584	41340
28	1112	879337	763690
29	1112	2070248	1827612
30	1112	869435	742205
0	1113	90859	41663
28	1113	876790	756671
29	1113	2065816	1812265
30	1113	858452	725814
0	1114	92300	41505
28	1114	888472	764316
29	1114	2085714	1821838
30	1114	868752	730978
0	1115	97407	42587
28	1115	890004	759650
29	1115	2079609	1798633
30	1115	872962	728967
0	1116	98540	41430
28	1116	879258	750975
29	1116	2055038	1770782
30	1116	868027	723658
0	1201	72397	39380
28	1201	850847	767003
29	1201	1931119	1745250
30	1201	894080	802630
0	1202	71818	39279
28	1202	862351	779662
29	1202	1945644	1764818
30	1202	898047	807168
0	1203	69648	37896
28	1203	867480	784434
29	1203	1955606	1774256
30	1203	899150	808112
0	1204	71064	38461
28	1204	871154	786926
29	1204	1963017	1778705
30	1204	906350	812378
0	1205	71206	37908
28	1205	875111	788747
29	1205	1971719	1784246
30	1205	910741	814614
0	1206	71434	36928
28	1206	876285	786485
29	1206	1977423	1782868
30	1206	908136	808022
0	1207	69544	36006
28	1207	880962	789086
29	1207	1984860	1788867
30	1207	904468	803747
0	1208	72467	36731
28	1208	876350	782058
29	1208	1995157	1790618
30	1208	899938	795121
0	1209	74072	37000
28	1209	878054	777520
29	1209	2013894	1796522
30	1209	901507	790867
0	1210	76194	37259
28	1210	882114	776414
29	1210	2021534	1792444
30	1210	902854	785926
0	1211	78517	38163
28	1211	883895	775299
29	1211	2022101	1788232
30	1211	900709	781121
0	1212	81372	39200
28	1212	887120	774624
29	1212	2031236	1788913
30	1212	899269	775200
0	1213	81528	38464
28	1213	892605	777313
29	1213	2046449	1798365
30	1213	898347	772116
0	1214	86672	40015
