SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	64347	44792
31	1101	1874043	1608324
32	1101	1083134	940006
33	1101	962440	822378
0	1102	66095	45250
31	1102	1870748	1605658
32	1102	1087801	941569
33	1102	960497	817345
0	1103	66151	45163
31	1103	1870825	1609141
32	1103	1092253	946078
33	1103	957242	814108
0	1104	67774	45569
31	1104	1882289	1611616
32	1104	1103669	953401
33	1104	967362	819593
0	1105	68123	45072
31	1105	1877592	1599957
32	1105	1105284	949413
33	1105	966744	814615
0	1106	69660	45636
31	1106	1875685	1588375
32	1106	1113467	949019
33	1106	967048	807519
0	1107	70351	45402
31	1107	1882160	1591539
32	1107	1123389	956569
33	1107	968279	807162
0	1108	70357	44619
31	1108	1860541	1558412
32	1108	1117735	942356
33	1108	957931	789236
0	1109	72046	44609
31	1109	1864101	1545168
32	1109	1122352	936243
33	1109	952250	774586
0	1110	74232	44974
31	1110	1882852	1545161
32	1110	1125691	929608
33	1110	945191	759666
0	1111	74986	44521
31	1111	1891775	1528814
32	1111	1121383	911367
33	1111	940974	741270
0	1112	4004553	3169664
31	1112	0	0
32	1112	0	0
33	1112	0	0
0	1113	3991084	3127162
31	1113	0	0
32	1113	0	0
33	1113	0	0
0	1114	3970988	3027791
31	1114	0	0
32	1114	0	0
33	1114	0	0
0	1115	3966626	2968152
31	1115	0	0
32	1115	0	0
33	1115	0	0
0	1116	3951719	2975575
31	1116	0	0
32	1116	0	0
33	1116	0	0
0	1201	61112	43788
31	1201	1874791	1611256
32	1201	1070409	929191
33	1201	976487	840592
0	1202	63342	45640
31	1202	1882222	1617572
32	1202	1071986	928087
33	1202	979625	840512
0	1203	61796	43825
31	1203	1871740	1601440
32	1203	1068812	919845
33	1203	973954	831249
0	1204	62715	44279
31	1204	1882745	1610140
32	1204	1078538	928667
33	1204	980039	836538
0	1205	62891	44770
31	1205	1885743	1602017
32	1205	1086908	931107
33	1205	984292	834071
0	1206	63157	44895
31	1206	1881317	1591388
32	1206	1094526	930494
33	1206	985240	828152
0	1207	63059	45035
31	1207	1884467	1585626
32	1207	1100411	930861
33	1207	989972	825710
0	1208	64023	45688
31	1208	1878944	1577466
32	1208	1103220	930349
33	1208	987471	820680
0	1209	62677	44556
31	1209	1857875	1541697
32	1209	1097366	914704
33	1209	972692	796624
0	1210	65667	45517
31	1210	1878632	1536456
32	1210	1103064	907409
33	1210	965452	780248
0	1211	66610	44933
31	1211	1872077	1506935
32	1211	1094496	884447
33	1211	948687	749506
0	1212	69342	44849
31	1212	1873400	1483236
32	1212	1098131	871710
33	1212	956891	739554
0	1213	3965890	3112271
31	1213	0	0
32	1213	0	0
33	1213	0	0
0	1214	3985346	3073890
31	1214	0	0
32	1214	0	0
33	1214	0	0
0	1215	3962523	3016302
31	1215	0	0
32	1215	0	0
33	1215	0	0
0	1216	3947796	2992382
31	1216	0	0
32	1216	0	0
33	1216	0	0
0	1301	62790	45095
31	1301	1865850	1603129
32	1301	1074492	934565
33	1301	956578	819120
0	1302	63529	45689
31	1302	1864078	1601245
32	1302	1077848	933768
33	1302	952019	812662
0	1303	62959	45709
31	1303	1861555	1603492
32	1303	1078219	935544
33	1303	947745	809194
0	1304	63401	45732
31	1304	1866080	1604515
32	1304	1084096	939085
33	1304	950617	809268
0	1305	62724	45014
31	1305	1872311	1603760
32	1305	1098094	948650
33	1305	955949	811107
0	1306	62908	44731
31	1306	1867789	1588002
32	1306	1101491	943211
33	1306	955588	801148
0	1307	62710	44719
31	1307	1873328	1590806
32	1307	1112348	952119
33	1307	956079	800083
0	1308	62332	43980
31	1308	1845700	1547083
32	1308	1106564	934103
33	1308	947615	780093
0	1309	63490	44835
31	1309	1850809	1540640
32	1309	1115838	936978
33	1309	948543	775501
0	1310	64583	45026
31	1310	1854332	1527836
32	1310	1120793	930238
33	1310	939085	757509
0	1311	65691	44813
31	1311	1867162	1513683
32	1311	1120929	916374
33	1311	926001	730686
0	1312	83319	53585
31	1312	1848587	1474893
32	1312	1115589	894278
33	1312	919957	711479
0	1313	3950299	3115247
31	1313	0	0
32	1313	0	0
33	1313	0	0
0	1314	3962714	3055463
31	1314	0	0
32	1314	0	0
33	1314	0	0
0	1315	3963961	2970686
31	1315	0	0
32	1315	0	0
33	1315	0	0
0	1316	3921122	2956202
31	1316	0	0
32	1316	0	0
33	1316	0	0
0	2101	66775	46233
31	2101	1844648	1579690
32	2101	1064512	920441
33	2101	952407	814094
0	2102	69869	47947
31	2102	1855833	1600581
32	2102	1074406	931790
33	2102	957248	821249
0	2103	68068	45936
31	2103	1864075	1601474
32	2103	1080055	932195
33	2103	961706	820091
0	2104	69024	45861
31	2104	1857669	1584340
