SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	1365367	152655
50	1101	74869	33003
51	1101	78104	35340
52	1101	88339	37115
53	1101	68355	30689
54	1101	79729	35161
55	1101	61817	27679
56	1101	58271	26331
57	1101	74736	31689
58	1101	75947	34037
59	1101	68490	31744
60	1101	78693	32911
61	1101	82442	37759
62	1101	80421	32925
63	1101	67044	28867
64	1101	86311	37283
65	1101	63353	27570
0	1102	1284823	145326
50	1102	98993	48441
51	1102	97447	51084
52	1102	114222	55689
53	1102	88907	44900
54	1102	103039	51982
55	1102	76847	39633
56	1102	84350	42384
57	1102	93940	44216
58	1102	95798	48669
59	1102	88926	46222
60	1102	100080	47973
61	1102	114544	59273
62	1102	100155	47288
63	1102	91021	44936
64	1102	119557	59078
65	1102	85486	41528
0	1103	1718724	293187
50	1103	110051	55594
51	1103	90911	51090
52	1103	95377	50244
53	1103	98984	50490
54	1103	112063	57281
55	1103	89024	45657
56	1103	91002	46838
57	1103	81541	42044
58	1103	109287	56376
59	1103	96525	49855
60	1103	113629	55451
61	1103	126294	68398
62	1103	111099	53565
63	1103	101243	51205
64	1103	137182	69523
65	1103	97663	48070
0	1104	1223453	118379
50	1104	101025	47476
51	1104	104972	53835
52	1104	116612	54274
53	1104	88438	42885
54	1104	104366	50913
55	1104	81021	38960
56	1104	86067	41327
57	1104	94775	43680
58	1104	97672	48957
59	1104	89933	44796
60	1104	101513	46051
61	1104	118477	61064
62	1104	98594	44799
63	1104	92768	44891
64	1104	125299	60440
65	1104	87100	40350
0	1105	1402292	146825
50	1105	93939	41243
51	1105	92613	45215
52	1105	101313	45524
53	1105	73061	34150
54	1105	97279	44957
55	1105	68551	31863
56	1105	77630	35626
57	1105	85908	37293
58	1105	86519	41704
59	1105	78353	37521
60	1105	89779	38808
61	1105	108345	53508
62	1105	85789	37323
63	1105	83014	37707
64	1105	114551	52863
65	1105	77551	34239
0	1106	1455518	210957
50	1106	78169	38899
51	1106	86798	45005
52	1106	101674	47795
53	1106	74929	36445
54	1106	89398	45006
55	1106	60268	30893
56	1106	74406	37113
57	1106	83803	39505
58	1106	88051	44886
59	1106	76074	38882
60	1106	76949	37062
61	1106	105464	55919
62	1106	84965	38260
63	1106	77546	37954
64	1106	114342	56774
65	1106	72215	33996
0	1107	1795171	331820
50	1107	51369	22071
51	1107	78757	36526
52	1107	91133	39019
53	1107	66605	29507
54	1107	80373	36729
55	1107	36274	16570
56	1107	42611	18742
57	1107	74498	32544
58	1107	75505	35571
59	1107	46604	20774
60	1107	53943	23012
61	1107	88806	42719
62	1107	73811	29617
63	1107	64842	28318
64	1107	61363	26701
65	1107	43281	17495
0	1108	2342951	689995
50	1108	0	0
51	1108	0	0
52	1108	0	0
53	1108	0	0
54	1108	0	0
55	1108	0	0
56	1108	0	0
57	1108	0	0
58	1108	0	0
59	1108	0	0
60	1108	0	0
61	1108	0	0
62	1108	0	0
63	1108	0	0
64	1108	0	0
65	1108	0	0
0	1109	1586564	139193
50	1109	56629	18093
51	1109	59921	22200
52	1109	63681	19610
53	1109	50025	15024
54	1109	60558	20420
55	1109	42831	14052
56	1109	48593	15693
57	1109	56268	17328
58	1109	56818	20275
59	1109	55575	18381
60	1109	50318	15243
61	1109	68619	25765
62	1109	55282	16161
63	1109	47703	16020
64	1109	75696	25708
65	1109	46434	13655
0	1110	1656490	141899
50	1110	62703	18335
51	1110	62359	21347
52	1110	67734	19318
53	1110	49482	14080
54	1110	67997	21440
55	1110	40034	12449
56	1110	52621	16378
57	1110	63455	18000
58	1110	69433	22939
59	1110	54059	17342
60	1110	56622	15642
