SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
47	1110	44430	8395
48	1110	62420	13338
49	1110	40123	6752
0	1111	992374	45455
34	1111	91391	16201
35	1111	101232	21769
36	1111	96195	16516
37	1111	81077	12659
38	1111	96230	19280
39	1111	70283	11784
40	1111	78777	14636
41	1111	94284	14844
42	1111	99277	20253
43	1111	86229	16403
44	1111	87359	13755
45	1111	107273	25020
46	1111	94666	14171
47	1111	92564	15639
48	1111	121983	23293
49	1111	80522	12113
0	1112	2276590	385804
34	1112	0	0
35	1112	0	0
36	1112	0	0
37	1112	0	0
38	1112	0	0
39	1112	0	0
40	1112	0	0
41	1112	0	0
42	1112	0	0
43	1112	0	0
44	1112	0	0
45	1112	0	0
46	1112	0	0
47	1112	0	0
48	1112	0	0
49	1112	0	0
0	1113	1127290	49703
34	1113	96852	14983
35	1113	102925	20949
36	1113	97367	15143
37	1113	80837	10993
38	1113	99006	18051
39	1113	73923	10962
40	1113	79962	13508
41	1113	94041	13202
42	1113	104482	19740
43	1113	92061	15847
44	1113	84993	11847
45	1113	108000	23267
46	1113	85127	11617
47	1113	97338	14445
48	1113	120061	20730
49	1113	78739	10864
0	1114	2102861	145397
34	1114	18663	2504
35	1114	17653	3023
36	1114	26700	3396
37	1114	23508	2455
38	1114	20149	3113
39	1114	13991	1806
40	1114	19630	2985
41	1114	25044	2799
42	1114	20881	3397
43	1114	18763	2572
44	1114	22834	2638
45	1114	23242	4359
46	1114	22385	2525
47	1114	26140	3134
48	1114	25772	4051
49	1114	18406	2107
0	1115	1546779	54512
34	1115	63715	6143
35	1115	54010	5537
36	1115	67372	5770
37	1115	62152	4476
38	1115	70736	7544
39	1115	33388	2792
40	1115	55212	5407
41	1115	86473	6402
42	1115	89168	9007
43	1115	46417	4363
44	1115	58638	4456
45	1115	83662	9536
46	1115	74081	5308
47	1115	82346	6637
48	1115	89160	8317
49	1115	56186	4085
0	1116	1583738	63987
34	1116	48646	3720
35	1116	46962	5217
36	1116	52406	3771
37	1116	52135	3361
38	1116	48518	4423
39	1116	41389	3390
40	1116	43563	3782
41	1116	57866	3823
42	1116	48836	4915
43	1116	53859	5227
44	1116	48064	3327
45	1116	47936	5108
46	1116	53646	3543
47	1116	64352	4489
48	1116	63995	5524
49	1116	50459	3043
0	1201	1220135	106603
34	1201	109549	53781
35	1201	108857	57214
36	1201	125268	60366
37	1201	102692	51868
38	1201	111027	56956
39	1201	93355	46436
40	1201	90122	45864
41	1201	104464	50254
42	1201	107619	54873
43	1201	99372	51639
44	1201	113143	54598
45	1201	124079	65324
46	1201	112811	53632
47	1201	99011	49555
48	1201	131222	64925
49	1201	93348	46652
0	1202	741418	22020
34	1202	143975	42245
35	1202	151234	48560
36	1202	161811	47492
37	1202	142303	41060
38	1202	144537	45712
39	1202	123414	35340
40	1202	120892	35491
41	1202	144853	39205
42	1202	144570	43369
43	1202	136306	42382
44	1202	155497	42807
45	1202	160157	52091
46	1202	150111	41682
47	1202	139289	40148
48	1202	174479	49605
49	1202	133840	37807
0	1203	1794634	504134
34	1203	84429	44376
35	1203	49157	27792
36	1203	54586	28677
37	1203	75465	39169
38	1203	80583	45073
39	1203	36305	18894
40	1203	67887	38744
41	1203	44196	22176
42	1203	42097	22349
43	1203	67598	38628
44	1203	44805	21975
45	1203	97425	56788
46	1203	39385	19068
47	1203	71024	37160
48	1203	98848	53027
49	1203	66144	34318
0	1204	1590476	257938
34	1204	91456	44772
35	1204	102225	51684
36	1204	113903	53497
37	1204	90726	42530
38	1204	97149	47225
39	1204	73305	35129
40	1204	17752	9278
41	1204	89159	40961
42	1204	25204	13142
43	1204	20716	11068
44	1204	96250	44053
45	1204	115031	58160
46	1204	97898	44191
47	1204	91111	43334
48	1204	119379	56977
49	1204	80569	36465
0	1205	729419	33733
34	1205	118352	35312
35	1205	125651	41826
36	1205	133328	39585
37	1205	113305	32607
38	1205	119509	38448
39	1205	97575	29446
40	1205	95248	28714
41	1205	119451	33667
42	1205	118015	36600
43	1205	112249	35496
44	1205	121597	34426
45	1205	133033	44210
46	1205	120651	33635
47	1205	115054	33148
48	1205	140322	41656
49	1205	108365	30918
0	1206	1767243	238545
34	1206	105381	49747
35	1206	105568	54772
36	1206	120089	56619
37	1206	94873	45780
38	1206	107356	53002
39	1206	87619	42170
40	1206	91118	44657
41	1206	103929	48657
42	1206	105812	52414
43	1206	96829	47979
44	1206	105035	49251
45	1206	120457	61894
46	1206	105339	47094
47	1206	95768	45648
48	1206	127696	62348
49	1206	91428	42263
0	1207	1496653	99950
34	1207	77832	25581
35	1207	74459	27547
36	1207	87290	28015
37	1207	65392	21805
38	1207	73600	26490
39	1207	61488	20380
40	1207	59698	20638
41	1207	75747	24005
42	1207	73636	26013
43	1207	69907	24770
44	1207	74133	23393
45	1207	84132	31173
46	1207	76663	23436
47	1207	66954	23058
48	1207	88611	30373
49	1207	64378	20710
0	1208	2433631	593745
34	1208	0	0
35	1208	0	0
36	1208	0	0
37	1208	0	0
38	1208	0	0
39	1208	0	0
40	1208	0	0
41	1208	0	0
42	1208	0	0
43	1208	0	0
44	1208	0	0
45	1208	0	0
46	1208	0	0
47	1208	0	0
48	1208	0	0
49	1208	0	0
0	1209	3234510	1304190
34	1209	0	0
35	1209	0	0
36	1209	0	0
37	1209	0	0
38	1209	0	0
39	1209	0	0
40	1209	0	0
41	1209	0	0
42	1209	0	0
43	1209	0	0
44	1209	0	0
45	1209	0	0
46	1209	0	0
47	1209	0	0
48	1209	0	0
49	1209	0	0
0	1210	1852900	168488
34	1210	63267	16704
35	1210	45328	13653
36	1210	67287	17839
37	1210	38331	9937
38	1210	48767	13898
39	1210	35171	9069
40	1210	34289	9781
41	1210	46695	11667
42	1210	42772	11717
43	1210	37737	10755
44	1210	42833	10034
45	1210	65924	20219
46	1210	49022	10873
47	1210	38080	10219
48	1210	72657	20610
49	1210	38661	8947
0	1211	2341636	345470
34	1211	0	0
35	1211	0	0
36	1211	0	0
37	1211	0	0
38	1211	0	0
39	1211	0	0
40	1211	0	0
41	1211	0	0
42	1211	0	0
43	1211	0	0
44	1211	0	0
45	1211	0	0
46	1211	0	0
47	1211	0	0
48	1211	0	0
49	1211	0	0
0	1212	2359133	257630
34	1212	0	0
35	1212	0	0
36	1212	0	0
37	1212	0	0
38	1212	0	0
39	1212	0	0
40	1212	0	0
41	1212	0	0
42	1212	0	0
43	1212	0	0
44	1212	0	0
45	1212	0	0
46	1212	0	0
47	1212	0	0
48	1212	0	0
49	1212	0	0
0	1213	2233007	248424
34	1213	0	0
35	1213	0	0
36	1213	0	0
37	1213	0	0
38	1213	0	0
39	1213	0	0
40	1213	0	0
41	1213	0	0
42	1213	0	0
43	1213	0	0
44	1213	0	0
45	1213	0	0
46	1213	0	0
47	1213	0	0
48	1213	0	0
49	1213	0	0
0	1214	1112782	11927
34	1214	103568	5848
35	1214	112027	8221
36	1214	109512	6059
37	1214	96940	4718
38	1214	108091	7261
39	1214	83148	4350
40	1214	93538	5680
41	1214	109263	5395
42	1214	114019	7375
43	1214	104031	6371
44	1214	103348	4926
45	1214	116926	9140
46	1214	110526	4934
47	1214	106096	5928
48	1214	133276	8297
49	1214	94321	4550
0	1215	2125995	150208
34	1215	16675	2086
35	1215	15729	2212
36	1215	23960	2729
37	1215	16596	1810
38	1215	17596	2447
39	1215	11041	1369
40	1215	19285	2612
41	1215	22222	2469
42	1215	16815	2446
43	1215	15929	2118
44	1215	18605	2148
45	1215	22830	3681
46	1215	22475	2266
47	1215	19461	2515
48	1215	26655	3475
49	1215	18955	1928
0	1216	1218579	0
34	1216	102486	0
35	1216	107310	0
36	1216	103905	0
37	1216	91371	0
38	1216	105586	0
39	1216	80254	0
40	1216	93696	0
41	1216	104940	0
42	1216	106943	0
43	1216	100898	0
44	1216	94629	0
45	1216	110969	0
46	1216	101523	0
47	1216	104680	0
48	1216	129809	0
49	1216	90599	0
0	1301	3348205	1303413
34	1301	0	0
35	1301	0	0
36	1301	0	0
37	1301	0	0
38	1301	0	0
39	1301	0	0
40	1301	0	0
41	1301	0	0
42	1301	0	0
43	1301	0	0
44	1301	0	0
45	1301	0	0
46	1301	0	0
47	1301	0	0
48	1301	0	0
49	1301	0	0
0	1302	1220393	136009
34	1302	99825	48866
35	1302	103646	55325
36	1302	114731	56207
37	1302	89038	44396
38	1302	103132	52749
39	1302	82454	40738
40	1302	82848	41884
41	1302	96192	45771
42	1302	100040	52194
43	1302	87481	45200
44	1302	97521	47484
45	1302	120389	64451
46	1302	96106	45554
47	1302	89460	44870
48	1302	122512	62874
49	1302	84936	41151
0	1303	3200509	1208253
34	1303	0	0
35	1303	0	0
36	1303	0	0
37	1303	0	0
38	1303	0	0
39	1303	0	0
40	1303	0	0
41	1303	0	0
42	1303	0	0
43	1303	0	0
44	1303	0	0
45	1303	0	0
46	1303	0	0
47	1303	0	0
48	1303	0	0
49	1303	0	0
0	1304	1741971	482231
34	1304	80622	40492
35	1304	36829	20486
36	1304	40560	19886
37	1304	68570	33883
38	1304	76292	40295
39	1304	28320	14204
40	1304	64626	34248
41	1304	32595	15849
42	1304	36068	18900
43	1304	65260	34074
44	1304	33903	16271
45	1304	97394	55513
46	1304	32864	15010
47	1304	67570	33584
48	1304	96131	50674
49	1304	63058	31035
0	1305	1627995	392922
34	1305	39923	19450
35	1305	88619	49362
36	1305	72709	36686
37	1305	72764	36722
38	1305	42506	22036
39	1305	66795	34084
40	1305	54437	28270
41	1305	78025	38077
42	1305	43816	23018
43	1305	72105	38472
44	1305	61202	29988
45	1305	106698	59754
46	1305	84128	40600
47	1305	57713	30314
48	1305	115026	60698
49	1305	53029	26558
0	1306	2434898	821001
34	1306	0	0
35	1306	0	0
36	1306	0	0
37	1306	0	0
38	1306	0	0
39	1306	0	0
40	1306	0	0
41	1306	0	0
42	1306	0	0
43	1306	0	0
44	1306	0	0
45	1306	0	0
46	1306	0	0
47	1306	0	0
48	1306	0	0
49	1306	0	0
0	1307	972195	75544
34	1307	117982	38737
35	1307	120599	46586
36	1307	126391	41936
37	1307	105165	32730
38	1307	121121	43376
39	1307	87015	29193
40	1307	99478	33314
41	1307	117278	35742
42	1307	119903	45029
43	1307	102410	36518
44	1307	112336	35876
45	1307	143498	56806
46	1307	115325	34110
47	1307	115204	35771
48	1307	153925	53605
49	1307	102371	31650
0	1308	1826639	390268
34	1308	51132	21884
35	1308	48596	23907
36	1308	48512	20799
37	1308	44387	17916
38	1308	74679	34341
39	1308	36604	15319
40	1308	61854	28330
41	1308	42214	17642
42	1308	50406	23424
43	1308	61005	27673
44	1308	45439	17850
45	1308	98239	50513
46	1308	42568	16502
47	1308	45237	19052
48	1308	67729	30918
49	1308	40064	15865
0	1309	3165048	1552209
34	1309	0	0
35	1309	0	0
36	1309	0	0
37	1309	0	0
38	1309	0	0
39	1309	0	0
40	1309	0	0
41	1309	0	0
42	1309	0	0
43	1309	0	0
44	1309	0	0
45	1309	0	0
46	1309	0	0
47	1309	0	0
48	1309	0	0
49	1309	0	0
0	1310	2369515	417645
34	1310	0	0
35	1310	0	0
36	1310	0	0
37	1310	0	0
38	1310	0	0
39	1310	0	0
40	1310	0	0
41	1310	0	0
42	1310	0	0
43	1310	0	0
44	1310	0	0
45	1310	0	0
46	1310	0	0
47	1310	0	0
48	1310	0	0
49	1310	0	0
0	1311	2243043	356250
34	1311	0	0
35	1311	0	0
36	1311	0	0
37	1311	0	0
38	1311	0	0
39	1311	0	0
40	1311	0	0
41	1311	0	0
42	1311	0	0
43	1311	0	0
44	1311	0	0
45	1311	0	0
46	1311	0	0
47	1311	0	0
48	1311	0	0
49	1311	0	0
0	1312	1084388	59161
34	1312	92735	17513
35	1312	102428	24322
36	1312	96004	17483
37	1312	80224	13084
38	1312	96669	20818
39	1312	68571	12015
40	1312	80198	15862
41	1312	96838	16233
42	1312	99890	22803
43	1312	83713	17012
44	1312	84684	14415
45	1312	116543	29911
46	1312	91715	13836
47	1312	92515	16688
48	1312	127050	26842
49	1312	79783	12734
0	1313	1120677	47723
34	1313	84555	11272
35	1313	87431	15409
36	1313	83596	10816
37	1313	68107	7639
38	1313	87604	13835
39	1313	58686	7452
40	1313	72769	9898
41	1313	86793	10022
42	1313	90863	14867
43	1313	74872	10758
44	1313	76096	8703
45	1313	100750	18612
46	1313	83108	8448
47	1313	81679	10542
48	1313	114321	16866
49	1313	72902	8107
0	1314	1237093	68539
34	1314	84086	12159
35	1314	73481	14687
36	1314	86182	11977
37	1314	69570	8357
38	1314	88221	14866
39	1314	49315	7268
40	1314	75466	11577
41	1314	84590	10570
42	1314	93093	17024
43	1314	63901	10896
44	1314	75172	9512
45	1314	99889	20850
46	1314	80531	9199
47	1314	84920	11880
48	1314	111825	18710
49	1314	71276	8283
0	1315	2222063	225389
34	1315	0	0
35	1315	0	0
36	1315	0	0
37	1315	0	0
38	1315	0	0
39	1315	0	0
40	1315	0	0
41	1315	0	0
42	1315	0	0
43	1315	0	0
44	1315	0	0
45	1315	0	0
46	1315	0	0
47	1315	0	0
48	1315	0	0
49	1315	0	0
0	1316	1632453	38574
34	1316	30852	1449
35	1316	28410	1552
36	1316	31326	1095
37	1316	38459	1181
38	1316	43167	2574
39	1316	36872	1433
40	1316	43972	2043
41	1316	35782	1108
42	1316	51665	3151
43	1316	42274	2114
44	1316	49323	1595
45	1316	55233	3919
46	1316	56088	2061
47	1316	46073	1938
48	1316	48385	2596
49	1316	36944	1079
0	2101	3448696	1477443
34	2101	0	0
35	2101	0	0
36	2101	0	0
37	2101	0	0
38	2101	0	0
39	2101	0	0
40	2101	0	0
41	2101	0	0
42	2101	0	0
43	2101	0	0
44	2101	0	0
45	2101	0	0
46	2101	0	0
47	2101	0	0
48	2101	0	0
49	2101	0	0
0	2102	2491319	928756
34	2102	0	0
35	2102	0	0
36	2102	0	0
37	2102	0	0
38	2102	0	0
39	2102	0	0
40	2102	0	0
41	2102	0	0
42	2102	0	0
43	2102	0	0
44	2102	0	0
45	2102	0	0
46	2102	0	0
47	2102	0	0
48	2102	0	0
49	2102	0	0
0	2103	2678176	1050332
34	2103	0	0
35	2103	0	0
36	2103	0	0
37	2103	0	0
38	2103	0	0
39	2103	0	0
40	2103	0	0
41	2103	0	0
42	2103	0	0
43	2103	0	0
44	2103	0	0
45	2103	0	0
46	2103	0	0
47	2103	0	0
48	2103	0	0
49	2103	0	0
0	2104	3387465	1329256
34	2104	0	0
35	2104	0	0
36	2104	0	0
37	2104	0	0
38	2104	0	0
39	2104	0	0
40	2104	0	0
41	2104	0	0
42	2104	0	0
43	2104	0	0
44	2104	0	0
45	2104	0	0
46	2104	0	0
47	2104	0	0
48	2104	0	0
49	2104	0	0
0	2105	3323689	1274769
34	2105	0	0
35	2105	0	0
36	2105	0	0
37	2105	0	0
38	2105	0	0
39	2105	0	0
40	2105	0	0
41	2105	0	0
42	2105	0	0
43	2105	0	0
44	2105	0	0
45	2105	0	0
46	2105	0	0
47	2105	0	0
48	2105	0	0
49	2105	0	0
0	2106	1353980	180968
34	2106	91657	46716
35	2106	101778	55609
36	2106	105573	52500
37	2106	78989	40002
38	2106	96498	51752
39	2106	75172	38097
40	2106	82271	42832
41	2106	86036	42375
42	2106	96877	52221
43	2106	87251	45434
44	2106	88989	42850
45	2106	125286	67332
46	2106	95505	44480
47	2106	86532	44114
48	2106	125586	64676
49	2106	75283	37184
0	2107	1707309	222158
34	2107	77849	31904
35	2107	92552	41163
36	2107	99066	38740
37	2107	73706	29725
38	2107	88480	38410
39	2107	52948	22449
40	2107	49719	21367
41	2107	82119	32266
42	2107	87127	38312
43	2107	56743	24461
44	2107	75443	29800
45	2107	106166	46633
46	2107	81508	30454
47	2107	75353	31307
48	2107	75243	31336
49	2107	48310	19908
0	2108	2412709	611796
34	2108	0	0
35	2108	0	0
36	2108	0	0
37	2108	0	0
38	2108	0	0
39	2108	0	0
40	2108	0	0
41	2108	0	0
42	2108	0	0
43	2108	0	0
44	2108	0	0
45	2108	0	0
46	2108	0	0
47	2108	0	0
48	2108	0	0
49	2108	0	0
0	2109	2508902	534278
34	2109	0	0
35	2109	0	0
36	2109	0	0
37	2109	0	0
38	2109	0	0
39	2109	0	0
40	2109	0	0
41	2109	0	0
42	2109	0	0
43	2109	0	0
44	2109	0	0
45	2109	0	0
46	2109	0	0
47	2109	0	0
48	2109	0	0
49	2109	0	0
0	2110	1544877	75966
34	2110	63954	14991
35	2110	65146	18439
36	2110	65321	15186
37	2110	48119	11539
38	2110	63699	16764
39	2110	47806	11252
40	2110	51469	13173
41	2110	58340	13592
42	2110	64844	17584
43	2110	57060	14544
44	2110	54409	12057
45	2110	79736	22339
46	2110	61667	12909
47	2110	52753	13464
48	2110	80785	20738
49	2110	48040	10687
0	2111	2369435	333959
34	2111	0	0
35	2111	0	0
36	2111	0	0
37	2111	0	0
38	2111	0	0
39	2111	0	0
40	2111	0	0
41	2111	0	0
42	2111	0	0
43	2111	0	0
44	2111	0	0
45	2111	0	0
46	2111	0	0
47	2111	0	0
48	2111	0	0
49	2111	0	0
0	2112	2329347	303041
34	2112	0	0
35	2112	0	0
36	2112	0	0
37	2112	0	0
38	2112	0	0
39	2112	0	0
40	2112	0	0
41	2112	0	0
42	2112	0	0
43	2112	0	0
44	2112	0	0
45	2112	0	0
46	2112	0	0
47	2112	0	0
48	2112	0	0
49	2112	0	0
0	2113	2458705	254729
34	2113	0	0
35	2113	0	0
36	2113	0	0
37	2113	0	0
38	2113	0	0
39	2113	0	0
40	2113	0	0
41	2113	0	0
42	2113	0	0
43	2113	0	0
44	2113	0	0
45	2113	0	0
46	2113	0	0
47	2113	0	0
48	2113	0	0
49	2113	0	0
0	2114	2495842	220001
34	2114	0	0
35	2114	0	0
36	2114	0	0
37	2114	0	0
38	2114	0	0
39	2114	0	0
40	2114	0	0
41	2114	0	0
42	2114	0	0
43	2114	0	0
44	2114	0	0
45	2114	0	0
46	2114	0	0
47	2114	0	0
48	2114	0	0
49	2114	0	0
0	2115	2660825	215844
34	2115	0	0
35	2115	0	0
36	2115	0	0
37	2115	0	0
38	2115	0	0
39	2115	0	0
40	2115	0	0
41	2115	0	0
42	2115	0	0
43	2115	0	0
44	2115	0	0
45	2115	0	0
46	2115	0	0
47	2115	0	0
48	2115	0	0
49	2115	0	0
0	2116	2677525	0
34	2116	0	0
35	2116	0	0
36	2116	0	0
37	2116	0	0
38	2116	0	0
39	2116	0	0
40	2116	0	0
41	2116	0	0
42	2116	0	0
43	2116	0	0
44	2116	0	0
45	2116	0	0
46	2116	0	0
47	2116	0	0
48	2116	0	0
49	2116	0	0
0	2201	3486951	1425413
34	2201	0	0
35	2201	0	0
36	2201	0	0
37	2201	0	0
38	2201	0	0
39	2201	0	0
40	2201	0	0
41	2201	0	0
42	2201	0	0
43	2201	0	0
44	2201	0	0
45	2201	0	0
46	2201	0	0
47	2201	0	0
48	2201	0	0
49	2201	0	0
0	2202	1193081	98679
34	2202	109685	53470
35	2202	116683	59777
36	2202	129575	62096
37	2202	103186	52328
38	2202	109709	56101
39	2202	96301	47480
40	2202	94692	48199
41	2202	105911	49696
42	2202	106626	54187
43	2202	101360	51614
44	2202	116816	55064
45	2202	137212	67930
46	2202	116030	54502
47	2202	104658	51444
48	2202	138585	66586
49	2202	96490	47464
0	2203	3502019	1342900
34	2203	0	0
35	2203	0	0
36	2203	0	0
37	2203	0	0
38	2203	0	0
39	2203	0	0
40	2203	0	0
41	2203	0	0
42	2203	0	0
43	2203	0	0
44	2203	0	0
45	2203	0	0
46	2203	0	0
47	2203	0	0
48	2203	0	0
49	2203	0	0
0	2204	1121146	92183
34	2204	110539	54706
35	2204	117401	62176
36	2204	126081	62515
37	2204	101689	52927
38	2204	108223	56841
39	2204	93077	47176
40	2204	97431	49779
41	2204	104487	50784
42	2204	110726	56832
43	2204	99312	52137
44	2204	113127	54921
45	2204	137954	70481
46	2204	115061	54575
47	2204	105562	52487
48	2204	143914	69620
49	2204	94878	47381
0	2205	3472871	1299605
34	2205	0	0
35	2205	0	0
36	2205	0	0
37	2205	0	0
38	2205	0	0
39	2205	0	0
40	2205	0	0
41	2205	0	0
42	2205	0	0
43	2205	0	0
44	2205	0	0
45	2205	0	0
46	2205	0	0
47	2205	0	0
48	2205	0	0
49	2205	0	0
0	2206	1396518	97543
34	2206	103353	42459
35	2206	102225	47542
36	2206	116731	48129
37	2206	89749	39314
38	2206	101511	45249
39	2206	81444	35327
40	2206	82770	36806
41	2206	97412	38998
42	2206	102364	44840
43	2206	89630	40199
44	2206	101623	40756
45	2206	124449	55218
46	2206	104107	41780
47	2206	92766	39637
48	2206	129072	53022
49	2206	85314	35589
0	2207	1596689	278898
34	2207	98334	45104
35	2207	44351	22976
36	2207	101155	46777
37	2207	77035	36757
38	2207	95949	47231
39	2207	33433	16529
40	2207	76806	36877
41	2207	81397	36530
42	2207	95947	46970
43	2207	36415	18161
44	2207	86378	38997
45	2207	111745	54242
46	2207	90066	40445
47	2207	81537	38740
48	2207	116588	54163
49	2207	72355	33518
0	2208	2335635	630610
34	2208	21167	8764
35	2208	26101	11574
36	2208	27258	11369
37	2208	24226	9652
38	2208	25225	11158
39	2208	16629	7035
40	2208	21746	9718
41	2208	26843	11265
42	2208	29050	13081
43	2208	23529	10414
44	2208	20340	7978
45	2208	39922	17584
46	2208	32140	12094
47	2208	31377	11896
48	2208	34658	13875
49	2208	21293	8374
0	2209	2605525	809414
34	2209	0	0
35	2209	0	0
36	2209	0	0
37	2209	0	0
38	2209	0	0
39	2209	0	0
40	2209	0	0
41	2209	0	0
42	2209	0	0
43	2209	0	0
44	2209	0	0
45	2209	0	0
46	2209	0	0
47	2209	0	0
48	2209	0	0
49	2209	0	0
0	2210	1696319	118342
34	2210	70572	21664
35	2210	59186	21581
36	2210	70758	21142
37	2210	52509	17047
38	2210	62960	21561
39	2210	47755	15933
40	2210	49939	16839
41	2210	66195	19732
42	2210	63718	21728
43	2210	54514	18798
44	2210	58256	17410
45	2210	84756	28328
46	2210	66082	18617
47	2210	56167	18299
48	2210	84963	26297
49	2210	51206	15869
0	2211	1858210	161921
34	2211	74391	12755
35	2211	47334	9225
36	2211	77238	13276
37	2211	36115	6038
38	2211	34032	5950
39	2211	30566	4865
40	2211	21992	3882
41	2211	54325	7904
42	2211	39858	7116
43	2211	23677	4165
44	2211	40591	5979
45	2211	51206	10392
46	2211	66502	9483
47	2211	59949	8895
48	2211	91878	16139
49	2211	49602	6566
0	2212	1912284	154985
34	2212	28183	5997
35	2212	43472	10419
36	2212	29115	5980
37	2212	24274	4957
38	2212	29161	6944
39	2212	20205	4312
40	2212	23863	5313
41	2212	44534	8968
42	2212	34193	8013
43	2212	29880	6314
44	2212	38889	7694
45	2212	34322	8664
46	2212	34460	6206
47	2212	38703	8475
48	2212	53891	12280
49	2212	33429	6387
0	2213	2342498	288135
34	2213	0	0
35	2213	0	0
36	2213	0	0
37	2213	0	0
38	2213	0	0
39	2213	0	0
40	2213	0	0
41	2213	0	0
42	2213	0	0
43	2213	0	0
44	2213	0	0
45	2213	0	0
46	2213	0	0
47	2213	0	0
48	2213	0	0
49	2213	0	0
0	2214	2643421	281877
34	2214	0	0
35	2214	0	0
36	2214	0	0
37	2214	0	0
38	2214	0	0
39	2214	0	0
40	2214	0	0
41	2214	0	0
42	2214	0	0
43	2214	0	0
44	2214	0	0
45	2214	0	0
46	2214	0	0
47	2214	0	0
48	2214	0	0
49	2214	0	0
0	2215	2351365	237473
34	2215	0	0
35	2215	0	0
36	2215	0	0
37	2215	0	0
38	2215	0	0
39	2215	0	0
40	2215	0	0
41	2215	0	0
42	2215	0	0
43	2215	0	0
44	2215	0	0
45	2215	0	0
46	2215	0	0
47	2215	0	0
48	2215	0	0
49	2215	0	0
0	2216	1633804	0
34	2216	82014	0
35	2216	68918	0
36	2216	72730	0
37	2216	71939	0
38	2216	88835	0
39	2216	54129	0
40	2216	72442	0
41	2216	82014	0
42	2216	75660	0
43	2216	81819	0
44	2216	73737	0
45	2216	100251	0
46	2216	74968	0
47	2216	85160	0
48	2216	101026	0
49	2216	59909	0
0	2301	3322690	1351698
34	2301	0	0
35	2301	0	0
