SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	1265633	107808
34	1101	105753	48822
35	1101	105085	52919
36	1101	119188	54024
37	1101	93623	43309
38	1101	107314	51491
39	1101	86160	39607
40	1101	88549	41098
41	1101	99046	44819
42	1101	105923	51185
43	1101	95592	46310
44	1101	106248	46772
45	1101	127246	63033
46	1101	104901	46063
47	1101	93799	44462
48	1101	133139	62265
49	1101	90558	40998
0	1102	3331514	1254985
34	1102	0	0
35	1102	0	0
36	1102	0	0
37	1102	0	0
38	1102	0	0
39	1102	0	0
40	1102	0	0
41	1102	0	0
42	1102	0	0
43	1102	0	0
44	1102	0	0
45	1102	0	0
46	1102	0	0
47	1102	0	0
48	1102	0	0
49	1102	0	0
0	1103	1843919	434260
34	1103	47261	24578
35	1103	117320	67698
36	1103	120017	63486
37	1103	91008	48341
38	1103	53161	28794
39	1103	90968	47140
40	1103	90247	49025
41	1103	101290	51944
42	1103	53929	29493
43	1103	97411	53220
44	1103	103546	53471
45	1103	130912	74886
46	1103	107098	52834
47	1103	93905	50656
48	1103	138519	76169
49	1103	89873	46434
0	1104	2521732	826966
34	1104	0	0
35	1104	0	0
36	1104	0	0
37	1104	0	0
38	1104	0	0
39	1104	0	0
40	1104	0	0
41	1104	0	0
42	1104	0	0
43	1104	0	0
44	1104	0	0
45	1104	0	0
46	1104	0	0
47	1104	0	0
48	1104	0	0
49	1104	0	0
0	1105	2119121	614090
34	1105	31845	13947
35	1105	27573	13129
36	1105	28840	11950
37	1105	29310	12169
38	1105	26905	12249
39	1105	21865	9406
40	1105	21285	9560
41	1105	25315	10272
42	1105	28304	13012
43	1105	23410	10652
44	1105	27330	11153
45	1105	31058	14937
46	1105	27843	10741
47	1105	30725	13281
48	1105	40577	18674
49	1105	27502	11489
0	1106	1878303	497226
34	1106	75317	38787
35	1106	53115	29023
36	1106	87123	44076
37	1106	39884	19566
38	1106	46962	24917
39	1106	37024	17864
40	1106	32983	17094
41	1106	45792	21011
42	1106	38449	20791
43	1106	36238	18693
44	1106	47276	21334
45	1106	90543	49156
46	1106	47810	21417
47	1106	43327	21482
48	1106	100916	52900
49	1106	37560	17297
0	1107	2011785	461299
34	1107	77254	34457
35	1107	26327	13088
36	1107	82867	36603
37	1107	38159	15995
38	1107	46952	21697
39	1107	21114	9051
40	1107	31728	14153
41	1107	42302	17044
42	1107	40758	18734
43	1107	21235	9688
44	1107	47089	18598
45	1107	79326	39132
46	1107	47243	18161
47	1107	43619	19014
48	1107	91583	43647
49	1107	38262	14735
0	1108	1502012	82822
34	1108	63382	17235
35	1108	66977	20858
36	1108	73682	19053
37	1108	53498	13982
38	1108	67967	19784
39	1108	49918	13144
40	1108	51947	14399
41	1108	65446	16602
42	1108	69387	20544
43	1108	59638	17358
44	1108	59700	15273
45	1108	76407	24165
46	1108	65014	15368
47	1108	57288	16037
48	1108	80283	22935
49	1108	55076	13827
0	1109	1947483	362014
34	1109	28569	9710
35	1109	26406	10776
36	1109	26079	8868
37	1109	22346	7001
38	1109	22201	8017
39	1109	17227	5848
40	1109	17225	6334
41	1109	24245	8032
42	1109	24627	9225
43	1109	19599	7140
44	1109	22961	7497
45	1109	23675	9450
46	1109	24174	7336
47	1109	25962	8818
48	1109	33782	12547
49	1109	23496	7380
0	1110	1841001	129777
34	1110	57183	10552
35	1110	29205	6652
36	1110	30152	5591
37	1110	43098	7425
38	1110	56820	11836
39	1110	22497	4097
40	1110	44066	9059
41	1110	26585	4750
42	1110	30150	6302
43	1110	48186	9818
44	1110	25838	4301
45	1110	63296	15653
46	1110	28207	4239
