SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	30917	18862
1	1101	275009	265839
2	1101	260314	250003
3	1101	225272	217204
4	1101	232700	224064
5	1101	221635	212679
6	1101	246932	238443
7	1101	241005	231708
8	1101	234296	225571
9	1101	224647	214662
10	1101	226737	217457
11	1101	263752	253338
12	1101	275975	265271
0	1102	30985	18600
1	1102	276439	267482
2	1102	261118	250881
3	1102	225044	217209
4	1102	232060	223582
5	1102	222413	213965
6	1102	247133	239052
7	1102	241163	232013
8	1102	233554	225252
9	1102	226491	217231
10	1102	228145	218987
11	1102	264208	254000
12	1102	276371	266257
0	1103	31184	18341
1	1103	277555	268619
2	1103	262206	251853
3	1103	225663	217928
4	1103	232663	224476
5	1103	224136	215776
6	1103	247927	240149
7	1103	241306	232149
8	1103	235500	227322
9	1103	227601	218550
10	1103	228039	219133
11	1103	264557	254561
12	1103	276624	266168
0	1104	31938	18336
1	1104	280171	271530
2	1104	263123	252808
3	1104	228789	220918
4	1104	233582	225081
5	1104	225569	217297
6	1104	249776	241723
7	1104	242623	233425
8	1104	236122	227723
9	1104	229507	220418
10	1104	229144	220212
11	1104	265393	255336
12	1104	277976	267595
0	1105	31853	18093
1	1105	281120	272442
2	1105	264130	253896
3	1105	229257	221572
4	1105	235474	227206
5	1105	225902	217817
6	1105	250162	242290
7	1105	244417	235437
8	1105	237923	229561
9	1105	229687	220739
10	1105	230056	221252
11	1105	266806	257027
12	1105	279197	268973
0	1106	32836	18090
1	1106	281637	272719
2	1106	264133	254185
3	1106	229089	221256
4	1106	235746	227312
5	1106	226563	218300
6	1106	250228	242145
7	1106	243264	234290
8	1106	237129	228897
9	1106	230546	221620
10	1106	230937	222103
11	1106	267492	257506
12	1106	279218	268935
0	1107	33050	17757
1	1107	283704	274575
2	1107	266497	255914
3	1107	229889	221797
4	1107	236772	228088
5	1107	227971	219562
6	1107	254126	245562
7	1107	244073	234796
8	1107	239190	230570
9	1107	232306	223168
10	1107	232375	223071
11	1107	268780	258090
12	1107	282009	271375
0	1108	33592	17588
1	1108	284871	275817
2	1108	266353	256139
3	1108	231058	223082
4	1108	236337	227589
5	1108	229634	221204
6	1108	253853	245462
7	1108	245071	235593
8	1108	240773	232074
9	1108	233999	224714
10	1108	232699	223458
11	1108	268865	258471
12	1108	282674	272155
0	1109	34814	18095
1	1109	287944	278590
2	1109	269194	258619
3	1109	233651	225700
4	1109	239124	230357
5	1109	232634	223959
6	1109	257042	248433
7	1109	247131	237559
8	1109	244180	235419
9	1109	235727	226173
10	1109	234008	224626
11	1109	272376	261739
12	1109	285704	274677
0	1110	35951	18078
1	1110	293554	283327
2	1110	271489	259791
3	1110	238554	229515
4	1110	242238	232737
5	1110	235926	226447
6	1110	261919	252657
7	1110	250960	240672
8	1110	247708	237979
9	1110	238976	228912
10	1110	238702	228351
11	1110	275829	264191
12	1110	290437	278448
0	1111	39095	18886
1	1111	299129	288156
2	1111	277463	264992
3	1111	241980	232260
4	1111	248605	238158
5	1111	240579	230741
6	1111	267277	257184
7	1111	254884	243793
8	1111	252968	242674
9	1111	244331	233389
10	1111	242815	231454
11	1111	280354	267920
12	1111	294683	282002
0	1112	40576	18868
1	1112	305916	293550
2	1112	282718	268675
3	1112	247390	236751
4	1112	252801	241270
5	1112	246948	236126
6	1112	273186	262025
7	1112	259502	247258
8	1112	258124	246507
9	1112	248827	236836
10	1112	247729	235322
11	1112	285622	271835
12	1112	300923	286679
0	1113	41152	18908
1	1113	308196	295277
2	1113	284429	270275
3	1113	250261	239049
4	1113	254397	242353
5	1113	248387	236882
6	1113	275003	263260
7	1113	260424	247552
8	1113	259581	247347
9	1113	250936	238436
10	1113	249215	236457
11	1113	286939	272759
12	1113	303008	288142
0	1114	43247	19113
1	1114	311557	297904
2	1114	286144	271197
3	1114	251814	240121
4	1114	257037	244660
5	1114	250554	238706
6	1114	277219	264750
7	1114	262512	248836
8	1114	260658	248122
9	1114	251943	238827
10	1114	249896	236439
11	1114	288828	273768
12	1114	306027	290055
0	1115	43941	19049
1	1115	311725	297336
2	1115	286779	271084
3	1115	251596	239437
4	1115	257207	244111
5	1115	251510	239089
6	1115	277026	263724
7	1115	263553	249347
8	1115	262222	248840
9	1115	252152	238125
10	1115	250818	236717
11	1115	289979	274215
12	1115	306024	289726
0	1116	44494	18687
1	1116	310682	295957
2	1116	288115	272466
3	1116	252414	240082
4	1116	258953	245780
5	1116	252743	239977
6	1116	276903	263477
7	1116	265222	251153
8	1116	262396	248789
9	1116	251586	237193
10	1116	252138	237629
11	1116	291979	276108
