SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
16	1204	232897	224824
17	1204	224148	216173
18	1204	244377	236459
19	1204	242115	233382
20	1204	233900	225878
21	1204	224547	215465
22	1204	228507	219781
23	1204	265133	255394
24	1204	276658	266805
0	1205	31387	18493
13	1205	274970	265880
14	1205	264622	254277
15	1205	225965	218078
16	1205	234674	226298
17	1205	223570	215380
18	1205	245951	237585
19	1205	242686	233636
20	1205	235195	226899
21	1205	226632	217278
22	1205	228602	219524
23	1205	266062	256107
24	1205	277725	267326
0	1206	31260	18129
13	1206	276726	267322
14	1206	265559	255138
15	1206	226528	218359
16	1206	235361	226664
17	1206	224794	216118
18	1206	246860	238118
19	1206	243128	233585
20	1206	236188	227397
21	1206	227196	217574
22	1206	229792	220429
23	1206	266344	255919
24	1206	278988	268265
0	1207	30108	17663
13	1207	279838	270568
14	1207	266796	256414
15	1207	228960	220934
16	1207	236768	228086
17	1207	227145	218537
18	1207	249843	241331
19	1207	245626	236311
20	1207	237952	229191
21	1207	227576	218039
22	1207	230690	221156
23	1207	269090	258749
24	1207	280321	269538
0	1208	31365	17985
13	1208	283314	273512
14	1208	270321	259456
15	1208	232419	224035
16	1208	239862	230898
17	1208	230649	221888
18	1208	253285	244135
19	1208	247620	237802
20	1208	240939	231893
21	1208	231410	221534
22	1208	233767	223996
23	1208	271349	260404
24	1208	284056	272830
0	1209	31259	17977
13	1209	287916	278119
14	1209	272301	261420
15	1209	234738	226219
16	1209	241715	232686
17	1209	232608	223689
18	1209	255429	246511
19	1209	249389	239549
20	1209	241818	232914
21	1209	234135	223970
22	1209	235064	225397
23	1209	273469	262618
24	1209	285511	274256
0	1210	33276	18439
13	1210	294109	282750
14	1210	277203	264954
15	1210	239500	229755
16	1210	245970	235765
17	1210	238342	228307
18	1210	261473	251280
19	1210	254387	243178
20	1210	248044	237675
21	1210	239546	228391
22	1210	240419	229250
23	1210	278949	266564
24	1210	291365	278334
0	1211	33827	18528
13	1211	298695	287217
14	1211	280741	268261
15	1211	243514	233740
16	1211	249719	239345
17	1211	241996	231841
18	1211	266396	255954
19	1211	257336	245966
20	1211	252478	241892
21	1211	242443	230999
22	1211	242947	231414
23	1211	282028	269683
24	1211	295227	282266
0	1212	36037	19143
13	1212	302688	290800
14	1212	282007	268927
15	1212	245757	235554
16	1212	252346	241186
17	1212	244014	233389
18	1212	268796	257857
