Lane	Read	Project	Sample Id	Sample Name	Sample Number	TrimmedBases	PercentageOfBases
7	1	BNPH	D15GOWT3_1	D15GOWT3_1	36	0	0
7	2	BNPH	D15GOWT3_1	D15GOWT3_1	36	0	0
7	1	BNPH	D15GOWT4_1	D15GOWT4_1	37	0	0
7	2	BNPH	D15GOWT4_1	D15GOWT4_1	37	0	0
7	1	BNPH	D15GOWT5_1	D15GOWT5_1	38	0	0
7	2	BNPH	D15GOWT5_1	D15GOWT5_1	38	0	0
7	1	BNPH	D15GOWT6_1	D15GOWT6_1	39	0	0
7	2	BNPH	D15GOWT6_1	D15GOWT6_1	39	0	0
7	1	BNPH	D15GOWT7_1	D15GOWT7_1	40	0	0
7	2	BNPH	D15GOWT7_1	D15GOWT7_1	40	0	0
7	1	BNPH	D15GOWT8_1	D15GOWT8_1	41	0	0
7	2	BNPH	D15GOWT8_1	D15GOWT8_1	41	0	0
7	1	default	unknown	Undetermined	0	0	0
7	2	default	unknown	Undetermined	0	0	0
8	1	BNPH	D15GOKO1_2	D15GOKO1_2	58	0	0
8	2	BNPH	D15GOKO1_2	D15GOKO1_2	58	0	0
8	1	BNPH	D15GOKO2_2	D15GOKO2_2	59	0	0
8	2	BNPH	D15GOKO2_2	D15GOKO2_2	59	0	0
8	1	BNPH	D15GOKO3_2	D15GOKO3_2	60	0	0
8	2	BNPH	D15GOKO3_2	D15GOKO3_2	60	0	0
8	1	BNPH	D15GOKO4_2	D15GOKO4_2	61	0	0
8	2	BNPH	D15GOKO4_2	D15GOKO4_2	61	0	0
8	1	BNPH	D15GOKO5_2	D15GOKO5_2	62	0	0
8	2	BNPH	D15GOKO5_2	D15GOKO5_2	62	0	0
8	1	BNPH	D15GOKO6_2	D15GOKO6_2	63	0	0
8	2	BNPH	D15GOKO6_2	D15GOKO6_2	63	0	0
8	1	BNPH	D15GOKO7_2	D15GOKO7_2	64	0	0
8	2	BNPH	D15GOKO7_2	D15GOKO7_2	64	0	0
8	1	BNPH	D15GOKO8_2	D15GOKO8_2	65	0	0
8	2	BNPH	D15GOKO8_2	D15GOKO8_2	65	0	0
8	1	BNPH	D15GOWT1_2	D15GOWT1_2	50	0	0
8	2	BNPH	D15GOWT1_2	D15GOWT1_2	50	0	0
8	1	BNPH	D15GOWT2_2	D15GOWT2_2	51	0	0
8	2	BNPH	D15GOWT2_2	D15GOWT2_2	51	0	0
8	1	BNPH	D15GOWT3_2	D15GOWT3_2	52	0	0
8	2	BNPH	D15GOWT3_2	D15GOWT3_2	52	0	0
8	1	BNPH	D15GOWT4_2	D15GOWT4_2	53	0	0
8	2	BNPH	D15GOWT4_2	D15GOWT4_2	53	0	0
8	1	BNPH	D15GOWT5_2	D15GOWT5_2	54	0	0
8	2	BNPH	D15GOWT5_2	D15GOWT5_2	54	0	0
8	1	BNPH	D15GOWT6_2	D15GOWT6_2	55	0	0
8	2	BNPH	D15GOWT6_2	D15GOWT6_2	55	0	0
8	1	BNPH	D15GOWT7_2	D15GOWT7_2	56	0	0
8	2	BNPH	D15GOWT7_2	D15GOWT7_2	56	0	0
8	1	BNPH	D15GOWT8_2	D15GOWT8_2	57	0	0
8	2	BNPH	D15GOWT8_2	D15GOWT8_2	57	0	0
8	1	default	unknown	Undetermined	0	0	0
8	2	default	unknown	Undetermined	0	0	0

Lane: 2	Read: 1	Project: SR	Sample Id: Sample_12wF1_1	Sample Name: Sample_12wF1_1	Sample Number: 10
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 2	Project: SR	Sample Id: Sample_12wF1_1	Sample Name: Sample_12wF1_1	Sample Number: 10
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 1	Project: SR	Sample Id: Sample_12wF4_1	Sample Name: Sample_12wF4_1	Sample Number: 11
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 2	Project: SR	Sample Id: Sample_12wF4_1	Sample Name: Sample_12wF4_1	Sample Number: 11
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 1	Project: SR	Sample Id: Sample_12wF5_1	Sample Name: Sample_12wF5_1	Sample Number: 12
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 2	Project: SR	Sample Id: Sample_12wF5_1	Sample Name: Sample_12wF5_1	Sample Number: 12
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 1	Project: SR	Sample Id: Sample_12wM1_1	Sample Name: Sample_12wM1_1	Sample Number: 7
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1

Lane: 2	Read: 2	Project: SR	Sample Id: Sample_12wM1_1	Sample Name: Sample_12wM1_1	Sample Number: 7
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
